university_id,degree_level,major_name_en,major_name_cn,is_active,notes
2690,bachelor,Accountancy,会计学,1,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/school-of-business/undergraduate-education/
2690,bachelor,Anthropology,人类学,1,https://chs.nus.edu.sg/programmes/
2690,bachelor,Architecture,建筑学,1,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/college-of-design-and-engineering/undergraduate-education/
2690,bachelor,Artificial Intelligence,人工智能,1,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/school-of-computing/undergraduate-education/
2690,bachelor,Bachelor of Dental Surgery (BDS),牙科外科学士（BDS）,1,https://www.dentistry.nus.edu.sg/ug/
2690,bachelor,Bachelor of Environmental Studies (BES),环境研究学士（BES）,1,https://chs.nus.edu.sg/programmes/
2690,bachelor,Bachelor of Information Technology,信息技术学士,1,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/school-of-continuing-and-lifelong-education/undergraduate-education/
2690,bachelor,Bachelor of Laws (Honours) (LLB),法学学士（荣誉）（LLB）,1,https://law1a.nus.edu.sg/admissions/llb_prog.html
2690,bachelor,Bachelor of Medicine and Bachelor of Surgery (MBBS),医学学士及外科学士（MBBS）,1,https://medicine.nus.edu.sg/prospective-students/bachelor-of-medicine-and-bachelor-of-surgery-mbbs/
2690,bachelor,Bachelor of Music (Honours),音乐学士（荣誉）,1,https://www.ystmusic.nus.edu.sg/programmes-bachelor-of-music/
2690,bachelor,Bachelor of Pharmacy (Honours),药学学士（荣誉）,1,https://pharmacy.nus.edu.sg/study/undergraduate/bachelor-of-pharmacy/
2690,bachelor,Bachelor of Science (Nursing Practice) – Part-time,护理实践理学学士（非全日制）,1,https://medicine.nus.edu.sg/nursing/education-programmes/undergraduate/bachelor-of-science-nursing-practice-part-time/
2690,bachelor,Bachelor of Science (Nursing),护理学理学学士,1,https://medicine.nus.edu.sg/nursing/education-programmes/undergraduate/
2690,bachelor,Bachelor of Science (Nursing) (Honours),护理学理学学士（荣誉）,1,https://medicine.nus.edu.sg/nursing/education-programmes/undergraduate/bachelor-of-science-nursing-honours/
2690,bachelor,Bachelor of Science (Pharmaceutical Science) (Honours),药物科学理学学士（荣誉）,1,https://pharmacy.nus.edu.sg/study/undergraduate/bachelor-of-science-pharmaceutical-science/
2690,bachelor,Bachelor of Technology (Computing),技术学士（计算）,1,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/school-of-continuing-and-lifelong-education/undergraduate-education/
2690,bachelor,Bachelor of Technology (Engineering),技术学士（工程）,1,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/college-of-design-and-engineering/undergraduate-education/
2690,bachelor,Biomedical Engineering,生物医学工程,1,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/college-of-design-and-engineering/undergraduate-education/
2690,bachelor,Business Administration,工商管理,1,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/school-of-business/undergraduate-education/
2690,bachelor,Business Administration and Law (Double Degree Programme),工商管理与法学（双学位项目）,1,https://law.nus.edu.sg/prospective-students/
2690,bachelor,Business Analytics,商业分析,1,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/school-of-computing/undergraduate-education/
2690,bachelor,Business Analytics and Information Systems,商业分析与信息系统,1,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/school-of-computing/undergraduate-education/
2690,bachelor,Chemical Engineering,化学工程,1,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/college-of-design-and-engineering/undergraduate-education/
2690,bachelor,Chemistry,化学,1,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/faculty-of-science/undergraduate-education/
2690,bachelor,Civil Engineering,土木工程,1,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/college-of-design-and-engineering/undergraduate-education/
2690,bachelor,Communications and New Media,传播与新媒体,1,https://chs.nus.edu.sg/programmes/
2690,bachelor,Computer Engineering,计算机工程,1,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/college-of-design-and-engineering/undergraduate-education/
2690,bachelor,Computer Science,计算机科学,1,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/school-of-computing/undergraduate-education/
2690,bachelor,Computer Science – Turing Programme,计算机科学（图灵项目）,1,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/school-of-computing/undergraduate-education/
2690,bachelor,Data Science and Analytics,数据科学与分析,1,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/faculty-of-science/undergraduate-education/
2690,bachelor,Data Science and Analytics (DSA),数据科学与分析（DSA）,1,https://chs.nus.edu.sg/programmes/
2690,bachelor,Data Science and Economics,数据科学与经济学,1,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/faculty-of-science/undergraduate-education/
