university_id,major_name_en,major_name_cn,degree_level,is_active,notes
2683,Bachelor of Business Administration (Honours) in Corporate Governance and Compliance (BBA-CGC),企业管治与合规管理（荣誉工商管理学士）,bachelor,1,https://sbus.hsu.edu.hk/programmes/undergraduate-programmes/bba-hons-in-corporate-governance-and-compliance/ | Source: Undergraduate Programmes by Schools (Admissions)
2683,Bachelor of Business Administration (Honours) in Economics (BBA-ECON),经济学（荣誉工商管理学士）,bachelor,1,https://sbus.hsu.edu.hk/programmes/undergraduate-programmes/bba-hons-in-economics/ | Source: Undergraduate Programmes by Schools (Admissions)
2683,Bachelor of Business Administration (Honours) in Finance and Banking (BBA-FB),金融与银行学（荣誉工商管理学士）,bachelor,1,https://sbus.hsu.edu.hk/programmes/undergraduate-programmes/bba-hons-in-finance-and-banking/ | Source: Undergraduate Programmes by Schools (Admissions)
2683,Bachelor of Business Administration (Honours) in Financial Analysis and FinTech (BBA-FAFT),金融分析与金融科技（荣誉工商管理学士）,bachelor,1,https://sbus.hsu.edu.hk/programmes/undergraduate-programmes/bba-hons-in-financial-analysis-and-fintech/ | Source: Undergraduate Programmes by Schools (Admissions)
2683,Bachelor of Business Administration (Honours) in General Business (BBA-GB),综合工商管理（荣誉工商管理学士）,bachelor,1,https://sbus.hsu.edu.hk/programmes/undergraduate-programmes/bba-hons-in-general-business/ | Source: Undergraduate Programmes by Schools (Admissions)
2683,Bachelor of Business Administration (Honours) in Global Business Management (BBA-GBM),环球商业管理（荣誉工商管理学士）,bachelor,1,https://sbus.hsu.edu.hk/programmes/undergraduate-programmes/bba-hons-in-global-business-management/ | Source: Undergraduate Programmes by Schools (Admissions)
2683,Bachelor of Business Administration (Honours) in Human Resource Management (BBA-HRM),人力资源管理（荣誉工商管理学士）,bachelor,1,https://sbus.hsu.edu.hk/programmes/undergraduate-programmes/bba-hons-in-human-resource-management/ | Source: Undergraduate Programmes by Schools (Admissions)
2683,Bachelor of Business Administration (Honours) in Management (BBA-MGT),管理学（荣誉工商管理学士）,bachelor,1,https://sbus.hsu.edu.hk/programmes/undergraduate-programmes/bba-hons-in-management/ | Source: Undergraduate Programmes by Schools (Admissions)
2683,Bachelor of Business Administration (Honours) in Marketing (BBA-MKT),市场营销（荣誉工商管理学士）,bachelor,1,https://sbus.hsu.edu.hk/programmes/undergraduate-programmes/bba-hons-in-marketing/ | Source: Undergraduate Programmes by Schools (Admissions)
2683,Bachelor of Business Administration (Honours) in Professional Accountancy (BBA-PA),专业会计（荣誉工商管理学士）,bachelor,1,https://sbus.hsu.edu.hk/programmes/undergraduate-programmes/bba-hons-in-professional-accountancy/ | Source: Undergraduate Programmes by Schools (Admissions)
2683,Bachelor of Arts (Honours) in Arts and Culture Communication (BA-ACC),艺术与文化传播（荣誉文学士）,bachelor,1,https://scom.hsu.edu.hk/en/bachelor-of-arts-honours-in-arts-and-culture-communication/ | Source: Undergraduate Programmes by Schools (Admissions)
2683,Bachelor of Arts (Honours) in Convergent Media and Communication Technology (BA-CMCT),融合媒体与传播科技（荣誉文学士）,bachelor,1,https://scom.hsu.edu.hk/en/bachelor-of-convergent-media-and-communication-technology-ba-cmct/ | Source: Undergraduate Programmes by Schools (Admissions)
2683,Bachelor of Journalism and Communication (Honours) (BJC),新闻与传播（荣誉学士）,bachelor,1,https://scom.hsu.edu.hk/en/bachelor-of-journalism-and-communication-honours/ | Source: Undergraduate Programmes by Schools (Admissions)
2683,Bachelor of Business Administration (Honours) in Supply Chain Management (BBA-SCM),供应链管理（荣誉工商管理学士）,bachelor,1,https://scm.hsu.edu.hk/bbascm/ | Source: Undergraduate Programmes by Schools (Admissions)
